sex,first_name,count,sex_name
2,Багетная-Мастерская,1,Мужской
2,Баха,1,Мужской
2,Боло,1,Мужской
2,Борода,1,Мужской
2,В,1,Мужской
2,В-А-Р,1,Мужской
2,В-М,1,Мужской
2,Вад,1,Мужской
2,Валентин,1,Мужской
2,Валерий В,1,Мужской
2,Ваня,1,Мужской
2,Вввввввв,1,Мужской
2,Вентиляция-И,1,Мужской
2,Виталий,1,Мужской
2,Виталий-Лнр,1,Мужской
2,Влад,1,Мужской
2,Alesha,1,Мужской
2,Владимир-И-Катерина,1,Мужской
2,Alexey,1,Мужской
2,Вова,1,Мужской
2,Вован,1,Мужской
2,Anatoly,1,Мужской
2,Геннадий,1,Мужской
2,Григорий,1,Мужской
2,Грузовые,1,Мужской
2,Д Г Б,1,Мужской
2,Д-И-М-А,1,Мужской
2,Д.а.д.,1,Мужской
2,Данил,1,Мужской
2,Даня,1,Мужской
2,Ддд,1,Мужской
2,Дед-Мороз,1,Мужской
2,Демис,1,Мужской
2,Angel,1,Мужской
2,Денис-И-Марина,1,Мужской
2,Джамал,1,Мужской
2,Джамик,1,Мужской
2,Anton,1,Мужской
2,Димасик,1,Мужской
2,Динар,1,Мужской
2,Дм,1,Мужской
2,Artyom,1,Мужской
2,Asadbek,1,Мужской
2,Евгений-И-Мария,1,Мужской
2,Евросталь,1,Мужской
2,Егор,1,Мужской
2,Ермек I,1,Мужской
2,Ефим,1,Мужской
2,Заяц-А,1,Мужской
2,Землетрясение,1,Мужской
2,И-Ми,1,Мужской
2,B',1,Мужской
2,Игнат,1,Мужской
2,Подпалас,1,Мужской
2,Игорь И Елена,1,Мужской
2,Игорь-И-Марина,1,Мужской
2,Jjj,1,Мужской
2,Илюшка,1,Мужской
2,Интехсплав,1,Мужской
2,Ислам,1,Мужской
2,К О Н Т И Н Е Н Т,1,Мужской
2,Каир,1,Мужской
2,Камон,1,Мужской
2,Карниз,1,Мужской
2,Тимур,1,Мужской
2,Коди,1,Мужской
2,Сергей-И-Татьяна,1,Мужской
2,Кот,1,Мужской
2,Криштиано,1,Мужской
2,Л А,1,Мужской
2,Лидер,1,Мужской
2,Лимон,1,Мужской
2,Лнгор,1,Мужской
2,Лшмгсвгвсд,1,Мужской
2,М-Р-А,1,Мужской
2,Макс,1,Мужской
2,Павел-В,1,Мужской
2,Максим-И-Алёна,1,Мужской
2,Матвей,1,Мужской
2,Мендарк,1,Мужской
2,Митяй,1,Мужской
2,Патриот,1,Мужской
2,Пахэлло,1,Мужской
2,Мур,1,Мужской
2,Н-А,1,Мужской
2,Наталья-И-Денис,1,Мужской
2,Не-В,1,Мужской
2,Пироги-И-Кофе,1,Мужской
2,Пк-На-Информатике,1,Мужской
2,Aaaaa,1,Мужской
2,Правда-О-Жкх,1,Мужской
2,Ну-Вот,1,Мужской
2,Православный-Приход,1,Мужской
2,Олег-Ремонт,1,Мужской
2,Олегатор,1,Мужской
2,Онд,1,Мужской
2,Пройдаков,1,Мужской
2,Ооо-Движение,1,Мужской
2,Ооо-Комтех,1,Мужской
2,Ооо-Управдом,1,Мужской
2,Очень-Нармалной,1,Мужской
2,Сигма,1,Мужской
2,Слава,1,Мужской
2,Слетать-В-Магазин,1,Мужской
2,Станислав,1,Мужской
2,Т-Ш,1,Мужской
2,Профиль,1,Мужской
2,Тима,1,Мужской
2,Яна-И-Сергей,1,Мужской
2,Тракс,1,Мужской
2,Тт,1,Мужской
2,Турал,1,Мужской
2,У-М-Р,1,Мужской
2,Федя,1,Мужской
2,Феникс,1,Мужской
2,Фотоуслуги,1,Мужской
2,Псих,1,Мужской
2,Чик-Чик,1,Мужской
2,Чч-Чч,1,Мужской
2,Шашлык,1,Мужской
2,Шоди,1,Мужской
2,Э-М-О-М-А-Л-И,1,Мужской
2,Эд,1,Мужской
2,Электрик,1,Мужской
2,Эльдар,1,Мужской
2,Эхсон,1,Мужской
2,Юля-И-Андрей,1,Мужской
2,Нор,1,Мужской
2,Юрчик,1,Мужской
2,Я-И-Только,1,Мужской
2,Я-Из-Ада,1,Мужской
2,Я-Псих,1,Мужской
2,Aaa,1,Мужской
2,B-A,1,Мужской
2,Batia_64,1,Мужской
2,Bmv,1,Мужской
2,Ccc,1,Мужской
2,Daler,1,Мужской
2,Damir,1,Мужской
2,Danila,1,Мужской
2,A-R-E-G,1,Мужской
2,Den,1,Мужской
2,Dima,1,Мужской
2,Dm,1,Мужской
2,Dzhonyy,1,Мужской
2,E.gollandec,1,Мужской
2,Egorka,1,Мужской
2,El-Bano,1,Мужской
2,Epi-C,1,Мужской
2,Fedya,1,Мужской
2,Fooster,1,Мужской
2,Genius,1,Мужской
2,Gio,1,Мужской
2,I Dont,1,Мужской
2,I So Love,1,Мужской
2,I--Июль,1,Мужской
2,Рамиль,1,Мужской
2,I-I,1,Мужской
2,I-Need,1,Мужской
2,Ibrohim,1,Мужской
2,Ii,1,Мужской
2,Iva-N,1,Мужской
2,J-O-R,1,Мужской
2,J-U-D-O,1,Мужской
2,Aaaaaaa,1,Мужской
